Air Quality Station Name,Year,Air Pollutant,value,Longitude,Latitude
Cork Ballinlough Heatherton Park,2015,PM10,12.471,-8.4571,51.8819
Galway City Bodkin Roundabout,2015,PM10,15.173,-9.0492,53.2817
Dublin Ballyfermot Library,2015,PM10,11.672,-6.3523,53.3405
Dublin Tallaght Old Bawn Road,2015,PM10,14.116,-6.3588,53.2805
Laois Portlaoise Dublin Road,2015,PM10,15.215,-7.2887,53.0361
Mayo Claremorris,2015,PM10,10.208,-9.0127,53.7039
Dublin Dun Laoghaire The Glen,2015,PM10,13.291,-6.1319,53.2858
Monaghan Kilkitt Waterworks,2015,PM10,9.22,-6.8831,54.0661
Mayo Castlebar John Moore Road,2015,PM10,12.946,-9.2997,53.8511
Dublin Rathmines Wynnefield Road,2015,PM10,15.331,-6.2672,53.322
Dublin Winetavern Street,2015,PM10,13.833,-6.2889,53.3417
Dublin Blanchardstown River Road,2015,PM10,17.384,-6.3699,53.3856
Clare Ennis Drumbiggle Road,2015,PM10,17.724,-8.9893,52.8432
Wexford Enniscorthy Parnell Road,2015,PM10,10.493,-6.5708,52.4985
Dublin Phoenix Park Ordnance Survey Road,2016,PM10,10.505,-6.349,53.3644
Dublin Ballyfermot Library,2016,PM10,10.651,-6.3523,53.3405
Cork Ballinlough Heatherton Park,2016,PM10,11.501,-8.4571,51.8819
Galway City Bodkin Roundabout,2016,PM10,15.261,-9.0492,53.2817
Dublin Inchicore Davitt Road,2016,PM10,13.477,-6.309,53.3363
Cork South Link Road Landfill,2016,PM10,17.902,-8.475,51.9111
Dublin Tallaght Old Bawn Road,2016,PM10,14.148,-6.3588,53.2805
Mayo Claremorris,2016,PM10,10.131,-9.0127,53.7039
Laois Portlaoise Dublin Road,2016,PM10,11.666,-7.2887,53.0361
Wexford Enniscorthy Parnell Road,2016,PM10,17.288,-6.5708,52.4985
Clare Ennis Drumbiggle Road,2016,PM10,17.233,-8.9893,52.8432
Mayo Castlebar John Moore Road,2016,PM10,11.901,-9.2997,53.8511
Dublin Dun Laoghaire The Glen,2016,PM10,12.871,-6.1319,53.2858
Dublin Rathmines Wynnefield Road,2016,PM10,14.888,-6.2672,53.322
Dublin Winetavern Street,2016,PM10,14.028,-6.2889,53.3417
Dublin Blanchardstown River Road,2016,PM10,17.547,-6.3699,53.3856
Monaghan Kilkitt Waterworks,2016,PM10,8.145,-6.8831,54.0661
Cork South Link Road Landfill,2017,PM10,17.242,-8.475,51.9111
Cork Ballinlough Heatherton Park,2017,PM10,10.39,-8.4571,51.8819
Dublin Winetavern Street,2017,PM10,12.934,-6.2889,53.3417
Dublin Phoenix Park Ordnance Survey Road,2017,PM10,9.075,-6.349,53.3644
Dublin Inchicore Davitt Road,2017,PM10,13.409,-6.309,53.3363
Dublin Ballyfermot Library,2017,PM10,11.992,-6.3523,53.3405
Mayo Claremorris,2017,PM10,10.799,-9.0127,53.7039
Clare Ennis Drumbiggle Road,2017,PM10,15.774,-8.9893,52.8432
Monaghan Kilkitt Waterworks,2017,PM10,7.834,-6.8831,54.0661
Dublin Dun Laoghaire The Glen,2017,PM10,11.785,-6.1319,53.2858
Mayo Castlebar John Moore Road,2017,PM10,11.154,-9.2997,53.8511
Laois Portlaoise Dublin Road,2017,PM10,13.396,-7.2887,53.0361
Dublin Tallaght Old Bawn Road,2017,PM10,11.785,-6.3588,53.2805
Dublin Blanchardstown River Road,2017,PM10,14.968,-6.3699,53.3856
Dublin Rathmines Wynnefield Road,2017,PM10,13.439,-6.2672,53.322
Dublin Ringsend recycling Centre,2017,PM10,13.396,-6.2141,53.3419
Dublin Finglas Mellowes Road,2018,PM10,10.697,-6.3053,53.3903
Dublin Ballyfermot Library,2018,PM10,15.832,-6.3523,53.3405
Dublin Raheny Saint Anne's Park,2018,PM10,10.522,-6.1726,53.3688
Waterford Waterford City Paddy Brownes Road,2018,PM10,13.473,-7.1516,52.2471
Dublin Marino Brian Road,2018,PM10,12.149,-6.2279,53.3682
Cork South Link Road Landfill,2018,PM10,16.862,-8.475,51.9111
Dublin Dun Laoghaire The Glen,2018,PM10,12.8,-6.1319,53.2858
Dublin Inchicore Davitt Road,2018,PM10,13.82,-6.309,53.3363
Galway Galway City Rahoon Road,2018,PM10,14.937,-9.0859,53.2736
Dublin Phoenix Park Ordnance Survey Road,2018,PM10,11.452,-6.349,53.3644
Cork Ballinlough Heatherton Park,2018,PM10,11.515,-8.4571,51.8819
Dublin Tallaght Old Bawn Road,2018,PM10,14.53,-6.3588,53.2805
Carlow Carlow Town County Council Offices,2018,PM10,11.744,-6.9317,52.8397
Monaghan Kilkitt Waterworks,2018,PM10,8.456,-6.8831,54.0661
Cork Cobh Carrignafoy,2018,PM10,14.904,-8.2878,51.855
Wexford Enniscorthy Parnell Road,2018,PM10,17.574,-6.5708,52.4985
Louth Dundalk Meadow Grove,2018,PM10,14.618,-6.3926,54.0031
Laois Portlaoise Dublin Road,2018,PM10,10.84,-7.2887,53.0361
Clare Ennis Drumbiggle Road,2018,PM10,15.812,-8.9893,52.8432
Mayo Claremorris,2018,PM10,12.151,-9.0127,53.7039
Roscommon Roscommon Town County Council Offices,2018,PM10,12.084,-8.1944,53.6294
Dublin Blanchardstown River Road,2018,PM10,17.197,-6.3699,53.3856
Dublin Rathmines Wynnefield Road,2018,PM10,15.116,-6.2672,53.322
Mayo Castlebar John Moore Road,2018,PM10,11.366,-9.2997,53.8511
Dublin Ringsend recycling Centre,2018,PM10,19.62,-6.2141,53.3419
Dublin Kilmainham St. John's Road West,2018,PM10,13.96,-6.2948,53.3458
Dublin Winetavern Street,2018,PM10,14.356,-6.2889,53.3417
Dublin Finglas Mellowes Road,2019,PM10,13.325,-6.3053,53.3903
Dublin Raheny Saint Anne's Park,2019,PM10,11.562,-6.1726,53.3688
Cork South Link Road Landfill,2019,PM10,17.853,-8.475,51.9111
Cork Ballinlough Heatherton Park,2019,PM10,12.251,-8.4571,51.8819
Dublin Inchicore Davitt Road,2019,PM10,18.836,-6.309,53.3363
Galway Galway City Rahoon Road,2019,PM10,12.524,-9.0859,53.2736
Dublin Phoenix Park Ordnance Survey Road,2019,PM10,11.306,-6.349,53.3644
Dublin Marino Brian Road,2019,PM10,14.124,-6.2279,53.3682
Dublin Kilmainham St. John's Road West,2019,PM10,13.836,-6.2948,53.3458
Waterford Waterford City Paddy Brownes Road,2019,PM10,14.908,-7.1516,52.2471
Cork Bishopstown MTU,2019,PM10,14.599,-8.533,51.8841
Dublin Ballyfermot Library,2019,PM10,13.931,-6.3523,53.3405
Wexford Enniscorthy Parnell Road,2019,PM10,18.332,-6.5708,52.4985
Roscommon Roscommon Town County Council Offices,2019,PM10,11.879,-8.1944,53.6294
Mayo Castlebar John Moore Road,2019,PM10,15.666,-9.2997,53.8511
Laois Portlaoise Dublin Road,2019,PM10,14.65,-7.2887,53.0361
Cork Cobh Carrignafoy,2019,PM10,13.224,-8.2878,51.855
Clare Ennis Drumbiggle Road,2019,PM10,17.967,-8.9893,52.8432
Dublin Tallaght Old Bawn Road,2019,PM10,12.437,-6.3588,53.2805
Dublin Blanchardstown River Road,2019,PM10,18.935,-6.3699,53.3856
Mayo Claremorris,2019,PM10,11.317,-9.0127,53.7039
Kilkenny Seville Lodge,2019,PM10,17.827,-7.2681,52.6388
Carlow Carlow Town County Council Offices,2019,PM10,11.001,-6.9317,52.8397
Dublin Ringsend recycling Centre,2019,PM10,18.847,-6.2141,53.3419
Louth Dundalk Meadow Grove,2019,PM10,14.496,-6.3926,54.0031
Monaghan Kilkitt Waterworks,2019,PM10,7.274,-6.8831,54.0661
Dublin Dun Laoghaire The Glen,2019,PM10,12.193,-6.1319,53.2858
Dublin Rathmines Wynnefield Road,2019,PM10,13.452,-6.2672,53.322
Dublin Winetavern Street,2019,PM10,15.385,-6.2889,53.3417
Cork Bishopstown MTU,2020,PM10,14.046,-8.533,51.8841
Dublin Raheny Saint Anne's Park,2020,PM10,10.637,-6.1726,53.3688
Dublin Ballyfermot Library,2020,PM10,11.795,-6.3523,53.3405
