Year,Location,Latitude,Longitude,Covariate,Value
2018,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,11.452
2018,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,11.515
2018,Dublin Tallaght Old Bawn Road,53.2805,-6.3588,PM10,14.53
2018,Carlow Carlow Town County Council Offices,52.8397,-6.9317,PM10,11.744
2018,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,8.456
2018,Cork Cobh Carrignafoy,51.855,-8.2878,PM10,14.904
2018,Wexford Enniscorthy Parnell Road,52.4985,-6.5708,PM10,17.574
2018,Louth Dundalk Meadow Grove,54.0031,-6.3926,PM10,14.618
2018,Laois Portlaoise Dublin Road,53.0361,-7.2887,PM10,10.84
2018,Clare Ennis Drumbiggle Road,52.8432,-8.9893,PM10,15.812
2018,Mayo Claremorris,53.7039,-9.0127,PM10,12.151
2018,Roscommon Roscommon Town County Council Offices,53.6294,-8.1944,PM10,12.084
2018,Dublin Blanchardstown River Road,53.3856,-6.3699,PM10,17.197
2018,Dublin Rathmines Wynnefield Road,53.322,-6.2672,PM10,15.116
2018,Mayo Castlebar John Moore Road,53.8511,-9.2997,PM10,11.366
2018,Dublin Ringsend recycling Centre,53.3419,-6.2141,PM10,19.62
2018,Dublin Kilmainham St. John's Road West,53.3458,-6.2948,PM10,13.96
2018,Dublin Winetavern Street,53.3417,-6.2889,PM10,14.356
2019,Dublin Finglas Mellowes Road,53.3903,-6.3053,PM10,13.325
2019,Dublin Raheny Saint Anne's Park,53.3688,-6.1726,PM10,11.562
2019,Cork South Link Road Landfill,51.9111,-8.475,PM10,17.853
2019,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,12.251
2019,Dublin Inchicore Davitt Road,53.3363,-6.309,PM10,18.836
2019,Galway Galway City Rahoon Road,53.2736,-9.0859,PM10,12.524
2019,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,11.306
2019,Dublin Marino Brian Road,53.3682,-6.2279,PM10,14.124
2019,Dublin Kilmainham St. John's Road West,53.3458,-6.2948,PM10,13.836
2019,Waterford Waterford City Paddy Brownes Road,52.2471,-7.1516,PM10,14.908
2019,Cork Bishopstown MTU,51.8841,-8.533,PM10,14.599
2019,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,13.931
2019,Wexford Enniscorthy Parnell Road,52.4985,-6.5708,PM10,18.332
2019,Roscommon Roscommon Town County Council Offices,53.6294,-8.1944,PM10,11.879
2019,Mayo Castlebar John Moore Road,53.8511,-9.2997,PM10,15.666
2019,Laois Portlaoise Dublin Road,53.0361,-7.2887,PM10,14.65
2019,Cork Cobh Carrignafoy,51.855,-8.2878,PM10,13.224
2019,Clare Ennis Drumbiggle Road,52.8432,-8.9893,PM10,17.967
2019,Dublin Tallaght Old Bawn Road,53.2805,-6.3588,PM10,12.437
2019,Dublin Blanchardstown River Road,53.3856,-6.3699,PM10,18.935
2019,Mayo Claremorris,53.7039,-9.0127,PM10,11.317
2019,Kilkenny Seville Lodge,52.6388,-7.2681,PM10,17.827
2019,Carlow Carlow Town County Council Offices,52.8397,-6.9317,PM10,11.001
2019,Dublin Ringsend recycling Centre,53.3419,-6.2141,PM10,18.847
2019,Louth Dundalk Meadow Grove,54.0031,-6.3926,PM10,14.496
2019,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,7.274
2019,Dublin Dun Laoghaire The Glen,53.2858,-6.1319,PM10,12.193
2019,Dublin Rathmines Wynnefield Road,53.322,-6.2672,PM10,13.452
2019,Dublin Winetavern Street,53.3417,-6.2889,PM10,15.385
2020,Cork Bishopstown MTU,51.8841,-8.533,PM10,14.046
2020,Dublin Raheny Saint Anne's Park,53.3688,-6.1726,PM10,10.637
2020,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,11.795
2020,Cork South Link Road Landfill,51.9111,-8.475,PM10,14.852
2020,Dublin Marino Brian Road,53.3682,-6.2279,PM10,13.008
2020,Waterford Waterford City Paddy Brownes Road,52.2471,-7.1516,PM10,14.247
2020,Dublin Ringsend recycling Centre,53.3419,-6.2141,PM10,17.339
2020,Dublin Finglas Mellowes Road,53.3903,-6.3053,PM10,11.883
2020,Dublin Inchicore Davitt Road,53.3363,-6.309,PM10,15.251
2020,Galway Galway City Rahoon Road,53.2736,-9.0859,PM10,12.566
2020,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,10.442
2020,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,11.329
2020,Louth Dundalk Meadow Grove,54.0031,-6.3926,PM10,12.646
2020,Clare Ennis Drumbiggle Road,52.8432,-8.9893,PM10,19.552
2020,Dublin Dun Laoghaire The Glen,53.2858,-6.1319,PM10,11.965
2020,Cavan Cavan Town Court House,53.9936,-7.3628,PM10,8.947
2020,Roscommon Roscommon Town County Council Offices,53.6294,-8.1944,PM10,10.488
2020,Tipperary Town,52.4792,-8.1564,PM10,12.234
2020,Wexford Enniscorthy Parnell Road,52.4985,-6.5708,PM10,14.851
2020,Westmeath Athlone,53.4248,-7.9377,PM10,15.526
2020,Carlow Carlow Town County Council Offices,52.8397,-6.9317,PM10,10.794
2020,Cork Cobh Carrignafoy,51.855,-8.2878,PM10,13.032
2020,Kerry Tralee Library,52.2673,-9.6979,PM10,15.836
2020,Wexford Wexford Town Opera House,52.3374,-6.4616,PM10,12.272
2020,Dublin Blanchardstown River Road,53.3856,-6.3699,PM10,15.204
2020,Donegal Letterkenny Library,54.9545,-7.7352,PM10,14.743
2020,Tipperary Clonmel,52.3547,-7.6994,PM10,11.52
2020,Kilkenny Seville Lodge,52.6388,-7.2681,PM10,18.461
2020,Mayo Claremorris,53.7039,-9.0127,PM10,9.95
2020,Laois Portlaoise Dublin Road,53.0361,-7.2887,PM10,12.044
2020,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,7.763
2020,Dublin Tallaght Old Bawn Road,53.2805,-6.3588,PM10,10.345
2020,Dublin Winetavern Street,53.3417,-6.2889,PM10,12.975
2020,Meath Navan,53.6556,-6.6893,PM10,13.758
2020,Offaly Birr,53.0945,-7.9085,PM10,9.834
2020,Dublin Kilmainham St. John's Road West,53.3458,-6.2948,PM10,13.122
2020,Mayo Castlebar John Moore Road,53.8511,-9.2997,PM10,14.39
2020,Cork Macroom Council Yard,51.9047,-8.9529,PM10,15.397
2020,Dublin Rathmines Wynnefield Road,53.322,-6.2672,PM10,11.007
2020,Limerick Peoples Park,52.6586,-8.6287,PM10,12.728
2020,Dublin Pearse St.,53.345,-6.2543,PM10,NA
2021,Cork Bishopstown MTU,51.8841,-8.533,PM10,13.327
2021,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,11.947
2021,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,11.401
2021,Waterford Waterford City Paddy Brownes Road,52.2471,-7.1516,PM10,13.732
2021,Dublin Finglas Mellowes Road,53.3903,-6.3053,PM10,11.832
2021,Cork South Link Road Landfill,51.9111,-8.475,PM10,17.97
2021,Galway Galway City Rahoon Road,53.2736,-9.0859,PM10,11.403
2021,Dublin Winetavern Street,53.3417,-6.2889,PM10,12.403
2021,Dublin Ringsend recycling Centre,53.3419,-6.2141,PM10,15.722
2021,Dublin Inchicore Davitt Road,53.3363,-6.309,PM10,14.02
2021,Dublin Raheny Saint Anne's Park,53.3688,-6.1726,PM10,10.806
2021,Dublin Marino Brian Road,53.3682,-6.2279,PM10,12.238
2021,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,11.798
2021,Mayo Castlebar John Moore Road,53.8511,-9.2997,PM10,14.153
2021,Donegal Letterkenny Library,54.9545,-7.7352,PM10,14.679
2021,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,7.817
2021,Roscommon Roscommon Town County Council Offices,53.6294,-8.1944,PM10,10.318
2021,Louth Dundalk Meadow Grove,54.0031,-6.3926,PM10,11.731
2021,Wexford Wexford Town Opera House,52.3374,-6.4616,PM10,13.489
2021,Laois Portlaoise Dublin Road,53.0361,-7.2887,PM10,11.424
2021,Kilkenny Seville Lodge,52.6388,-7.2681,PM10,16.788
2021,Clare Ennis Drumbiggle Road,52.8432,-8.9893,PM10,19.002
2021,Cavan Cavan Town Court House,53.9936,-7.3628,PM10,10.618
2021,Offaly Birr,53.0945,-7.9085,PM10,12.206
2021,Wexford Enniscorthy Parnell Road,52.4985,-6.5708,PM10,13.652
2021,Kerry Tralee Library,52.2673,-9.6979,PM10,17.076
2021,Dublin Blanchardstown River Road,53.3856,-6.3699,PM10,14.155
2021,Carlow Carlow Town County Council Offices,52.8397,-6.9317,PM10,10.396
2021,Dublin Tallaght Old Bawn Road,53.2805,-6.3588,PM10,9.839
2021,Westmeath Athlone,53.4248,-7.9377,PM10,12.061
2021,Cork Cobh Carrignafoy,51.855,-8.2878,PM10,12.004
2021,Mayo Claremorris,53.7039,-9.0127,PM10,9.435
2021,Dublin Dun Laoghaire The Glen,53.2858,-6.1319,PM10,11.382
2021,Meath Navan,53.6556,-6.6893,PM10,13.476
2021,Tipperary Clonmel,52.3547,-7.6994,PM10,10.627
2021,Cork Macroom Council Yard,51.9047,-8.9529,PM10,14.578
2021,Tipperary Town,52.4792,-8.1564,PM10,12.651
2021,Limerick Peoples Park,52.6586,-8.6287,PM10,12.569
2021,Dublin Kilmainham St. John's Road West,53.3458,-6.2948,PM10,13.002
2021,Dublin Rathmines Wynnefield Road,53.322,-6.2672,PM10,12.378
2022,Dublin Finglas Mellowes Road,53.3903,-6.3053,PM10,11.847
2022,Dublin Inchicore Davitt Road,53.3363,-6.309,PM10,14.137
2022,Galway Galway City Rahoon Road,53.2736,-9.0859,PM10,12.587
2022,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,10.877
2022,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,12.626
